name,author,intro
说服式设计七原则：用设计影响用户的选择,"

Victor S. Yocco                    ?

            ",本书是“将关键的心理学原则应用于设计”的入门书，提供了具体可行的方法与详细指导，读者无须拥有心理学背景就能理解...

简单微积分：学校未教过的超简易入门技巧,"

[日]神永正博                    ?

            ",本书为微积分入门科普读物，书中以微积分的“思考方法”为核心，以生活例子通俗讲解了微积分的基本原理、公式推导以及...

Java攻略：Java常见问题的简单解法,蒋楠,本书旨在让读者迅速掌握Java 8和Java 9相关特性，并给出了70余个可以用于实际开发的示例，介绍了如何利...

Python社会媒体挖掘,陶俊杰,本书共分为9章，从社会媒体API、数据挖掘技巧和Python的数据科学工具这3个主题进行阐释。主要内容包括：如...

App Inventor开发训练营,金从军,App Inventor的出现大大降低了编程门槛，没有程序设计经验的编程爱好者可以在短时间内就创建出炫目的安卓...

Unity 3D游戏开发（第2版）,宣雨松,Unity 是一款市场占有率非常高的商业游戏引擎，横跨25 个主流游戏平台。本书基于Unity 2018，结合...

高效算法：竞赛、应试与提高必修128例,史世强,本书旨在探讨如何优化算法效率，详细阐述了经典算法和特殊算法的实现、应用技巧和复杂度验证过程，内容由浅入深，能帮...

TensorFlow深度学习,"

[意]Giancarlo Zaccone                    ?

[孟加拉]Md. Rezaul Karim                    ?

[埃及]Ahmed Menshawy                    ?

            ",本书共分5方面内容：基础知识、关键模块、算法模型、内核揭秘、生态发展。前两方面由浅入深地介绍了TensorFl...

枕边算法书,崔盛一,本书第1章重点讲解各种常见算法，第2章主要介绍几种相对少见的算法，第3章和第4章探究其他程序员编写的代码，从中...

良质！PHP企业级系统开发,黄禅宗,你是否对PHP又爱又恨？是否在为PHP架构瓶颈发愁？我们都曾有同感，PHP强大的易用性受人爱戴，但也带来一系列...

Arduino+传感器：玩转电子制作,"

[日]藏下雅之                    ?

            ",本书首先对Arduino的用法进行了简单的介绍；然后详细解说了电子制作的基础知识、各种传感器的用法、电子电路的...

去中心化应用：区块链技术概述,吴海星,在这本实用指南中，作者解释了为什么去中心化应用（dapp）将比现在最流行的Web应用得到更广泛的使用以及实现更...

Java轻松学,袁国忠,本书是Java 基础教程类图书，通过开发实际的桌面和移动应用，从实战角度指导读者快速上手Java编程。主要内容...

OpenCV计算机视觉编程攻略（第3版）,相银初,本书结合C++和OpenCV全面讲解计算机视觉编程，不仅涵盖计算机视觉和图像处理的基础知识，而且通过完整示例讲...

Linux Shell脚本攻略（第3版）,门佳,本书结合丰富的实际案例介绍了如何利用shell命令实现与Linux操作系统的高效沟通，具体内容包括：各类日常任...

JSON实战,"

汤姆?马尔斯                    ?

            ",本书来自于作者实际使用JSON的经验所得，主要内容包括JSON基础知识，对JSON数据建模，在Node.js、...

